"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RV1,RV2,RV5,RV3,RV4";"Potentiometer_Bourns_3296W_Vertical";5;"100k";;;
2;"C2,C15,C16,C3";"C_0603_1608Metric";4;"10uF";;;
3;"J9,J11,J5,J6,J8,J16,J3,J7,J12,J2,J15,J21,J20";"WirePad_motor";13;"WirePad";;;
4;"P1,P2";"ECD-GH1.25-6P-SH";2;"${VALUE}";;;
5;"U4";"SOT-223";1;"LM1117-3.3V";;;
6;"U1";"STC16F40K128_CoreBoard";1;"STC16H40K128_CoreBoard";;;
7;"SW3,SW1";"SW_Push";2;"SW_Push";;;
8;"J4";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02";;;
9;"U2";"SOT-223";1;"LM1117-5V";;;
10;"J1,J10";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";2;"Conn_01x04";;;
11;"B1";"BEEP 9x5.5mm";1;"BEEP";;;
12;"C1,C19,C20,C17,C32,C33,C34,C31,C26,C25,C18,C11,C13,C4";"C_0603_1608Metric";14;"100nF";;;
13;"C12,C21,C14,C22,C23";"C_0603_1608Metric";5;"1nF";;;
14;"U7,U6,U5";"SOIC-8_3.9x4.9mm_P1.27mm";3;"OPA2197xD";;;
15;"R38,R27,R18,R21,R31";"R_0603_1608Metric";5;"5.1k";;;
16;"U9,U10,U8";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";3;"~";;;
17;"R12,R10,R26,R24,R25";"R_0603_1608Metric";5;"6.2k";;;
18;"C51,C29,C52";"C_0603_1608Metric";3;"47uF";;;
19;"R11,R28,R36,R19,R22";"R_0603_1608Metric";5;"51k";;;
20;"D10,D19,D24,D8,D6,D9,D5,D7,D18,D11";"D_SOD-323F";10;"SS54";;;
21;"D22,D17,D21";"D_SOD-323F";3;"MM3Zxx";;;
22;"R53,R60,R59";"R_0603_1608Metric";3;"1k";;;
23;"R23,R30,R17,R20,R37";"R_0603_1608Metric";5;"100R";;;
24;"U3";"LGA-14L_2P5X3X0P83_STM";1;"LSM6DSRTR";;;
