Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Revision,ALTIUM_VALUE
B1,1,BEEP,BEEP 9x5.5mm,,,,tht,蜂鸣器,,
"C1, C11, C13, C17, C18, C19, C20, C25, C26, C31, C32, C33, C34, C4",14,100nF,C_0603_1608Metric,,,,smt,,,
"C12, C14, C21, C22, C23",5,1nF,C_0603_1608Metric,,,,smt,,,
"C15, C16, C2, C3",4,10uF,C_0603_1608Metric,,,,smt,,,
"C29, C51, C52",3,47uF,C_0603_1608Metric,,,,smt,,,
"D10, D11, D18, D19, D24, D5, D6, D7, D8, D9",10,SS54,D_SOD-323F,,,,smt,,,
"D17, D21, D22",3,MM3Zxx,D_SOD-323F,,,,smt,"300mW Zener Diode, SOD-323F",,
"J1, J10",2,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",,
"J11, J12, J15, J16, J2, J20, J21, J3, J5, J6, J7, J8, J9",13,WirePad,WirePad_motor,,,,tht,"Generic connector, single row, 01x01, script generated",,
J4,1,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,
"P1, P2",2,${VALUE},ECD-GH1.25-6P-SH,,,,tht,"2x3pin, 直插, 双排针",V1.0,Header-D-M 2x3P
"R10, R12, R24, R25, R26",5,6.2k,R_0603_1608Metric,,,,smt,,,
"R11, R19, R22, R28, R36",5,51k,R_0603_1608Metric,,,,smt,,,
"R17, R20, R23, R30, R37",5,100R,R_0603_1608Metric,,,,smt,,,
"R18, R21, R27, R31, R38",5,5.1k,R_0603_1608Metric,,,,smt,,,
"R53, R59, R60",3,1k,R_0603_1608Metric,,,,smt,,,
"RV1, RV2, RV3, RV4, RV5",5,100k,Potentiometer_Bourns_3296W_Vertical,,,,tht,Potentiometer,,
"SW1, SW3",2,SW_Push,SW_Push,,,,tht,,,
U1,1,STC16H40K128_CoreBoard,STC16F40K128_CoreBoard,,,,tht,逐飞科技 STC16H40K128核心板,,
"U10, U8, U9",3,~,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,,,,smt,,,
U2,1,LM1117-5V,SOT-223,,,,smt,"800-mA, Low-Dropout Linear Regulator",,
U3,1,LSM6DSRTR,LGA-14L_2P5X3X0P83_STM,,,,smt,,,
U4,1,LM1117-3.3V,SOT-223,,,,smt,"800-mA, Low-Dropout Linear Regulator",,
"U5, U6, U7",3,OPA2197xD,SOIC-8_3.9x4.9mm_P1.27mm,,,,smt,"Dual 36V, Precision, Rail-to-Rail Input/Output, Low Offset Voltage, Operational Amplifier, SOIC-8",,
