pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
13.02,19.0,-90.0,top,B1,,,BEEP 9x5.5mm,BEEP,tht
54.57,-0.145,-90.0,top,C1,,,C_0603_1608Metric,100nF,smt
21.345,-6.94,90.0,bottom,C11,,,C_0603_1608Metric,100nF,smt
30.72,24.945,-90.0,bottom,C12,,,C_0603_1608Metric,1nF,smt
21.51,-16.375,90.0,bottom,C13,,,C_0603_1608Metric,100nF,smt
32.54,21.525,-90.0,bottom,C14,,,C_0603_1608Metric,1nF,smt
33.975,-36.25,-90.0,top,C15,,,C_0603_1608Metric,10uF,smt
43.93,0.025,-90.0,top,C16,,,C_0603_1608Metric,10uF,smt
62.37,21.235,0.0,bottom,C17,,,C_0603_1608Metric,100nF,smt
58.545,24.895,180.0,bottom,C18,,,C_0603_1608Metric,100nF,smt
64.695,18.38,-90.0,bottom,C19,,,C_0603_1608Metric,100nF,smt
35.595,-36.25,-90.0,top,C2,,,C_0603_1608Metric,10uF,smt
57.55,18.415,-90.0,bottom,C20,,,C_0603_1608Metric,100nF,smt
30.69,34.215,-90.0,bottom,C21,,,C_0603_1608Metric,1nF,smt
30.57,28.815,-90.0,bottom,C22,,,C_0603_1608Metric,1nF,smt
32.435,17.94,-90.0,bottom,C23,,,C_0603_1608Metric,1nF,smt
79.165,30.72,0.0,bottom,C25,,,C_0603_1608Metric,100nF,smt
72.115,33.1,0.0,bottom,C26,,,C_0603_1608Metric,100nF,smt
17.255,27.68,0.0,bottom,C29,,,C_0603_1608Metric,47uF,smt
34.021992,-33.178008,45.0,top,C3,,,C_0603_1608Metric,10uF,smt
79.005,28.22,0.0,bottom,C31,,,C_0603_1608Metric,100nF,smt
69.675,27.44,-90.0,bottom,C32,,,C_0603_1608Metric,100nF,smt
53.36,13.055,-90.0,bottom,C33,,,C_0603_1608Metric,100nF,smt
48.66,15.57841,0.0,bottom,C34,,,C_0603_1608Metric,100nF,smt
38.945,4.09,180.0,bottom,C4,,,C_0603_1608Metric,100nF,smt
16.61,1.28,-45.0,bottom,C51,,,C_0603_1608Metric,47uF,smt
23.095,17.22,0.0,bottom,C52,,,C_0603_1608Metric,47uF,smt
73.949999,31.0,0.0,bottom,D10,,,D_SOD-323F,SS54,smt
76.37,27.120001,-90.0,bottom,D11,,,D_SOD-323F,SS54,smt
24.21932,23.782501,90.0,bottom,D17,,,D_SOD-323F,MM3Zxx,smt
73.719999,28.23,0.0,bottom,D18,,,D_SOD-323F,SS54,smt
51.56932,14.88341,90.0,bottom,D19,,,D_SOD-323F,SS54,smt
18.39,34.38,90.0,bottom,D21,,,D_SOD-323F,MM3Zxx,smt
18.04,8.61,90.0,bottom,D22,,,D_SOD-323F,MM3Zxx,smt
48.94591,13.76,0.0,bottom,D24,,,D_SOD-323F,SS54,smt
61.53932,25.832501,90.0,bottom,D5,,,D_SOD-323F,SS54,smt
60.449999,23.12,0.0,bottom,D6,,,D_SOD-323F,SS54,smt
62.8,18.0875,-90.0,bottom,D7,,,D_SOD-323F,SS54,smt
60.069999,19.18,0.0,bottom,D8,,,D_SOD-323F,SS54,smt
76.64,31.809999,90.0,bottom,D9,,,D_SOD-323F,SS54,smt
2.375001,28.375001,90.0,top,J1,,,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,Conn_01x04,tht
2.46,7.75,90.0,top,J10,,,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,Conn_01x04,tht
15.25,25.49,90.0,top,J11,,,WirePad_motor,WirePad,tht
50.75,39.46,0.0,top,J12,,,WirePad_motor,WirePad,tht
18.51,14.65,90.0,top,J15,,,WirePad_motor,WirePad,tht
21.14,14.7,90.0,top,J16,,,WirePad_motor,WirePad,tht
53.38,9.84,90.0,top,J2,,,WirePad_motor,WirePad,tht
12.2,-0.19,90.0,bottom,J20,,,WirePad_motor,WirePad,tht
14.75,-0.16,90.0,bottom,J21,,,WirePad_motor,WirePad,tht
64.78,21.64,90.0,top,J3,,,WirePad_motor,WirePad,tht
56.29,-33.44,180.0,top,J4,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02,tht
81.62,30.14,90.0,top,J5,,,WirePad_motor,WirePad,tht
81.61,26.84,90.0,top,J6,,,WirePad_motor,WirePad,tht
12.6,26.47,-90.0,top,J7,,,WirePad_motor,WirePad,tht
66.35,18.46,90.0,top,J8,,,WirePad_motor,WirePad,tht
30.76,39.49,0.0,top,J9,,,WirePad_motor,WirePad,tht
5.375,-32.13,0.0,top,P1,,,ECD-GH1.25-6P-SH,${VALUE},tht
17.025,-32.15,0.0,top,P2,,,ECD-GH1.25-6P-SH,${VALUE},tht
33.135,24.24,180.0,bottom,R10,,,R_0603_1608Metric,6.2k,smt
58.525,26.44,180.0,bottom,R11,,,R_0603_1608Metric,51k,smt
34.83,20.75,180.0,bottom,R12,,,R_0603_1608Metric,6.2k,smt
58.05,32.755,90.0,bottom,R17,,,R_0603_1608Metric,100R,smt
58.505,28.06,180.0,bottom,R18,,,R_0603_1608Metric,5.1k,smt
56.045,18.415,-90.0,bottom,R19,,,R_0603_1608Metric,51k,smt
64.205,12.755001,0.0,bottom,R20,,,R_0603_1608Metric,100R,smt
56.05,21.485,90.0,bottom,R21,,,R_0603_1608Metric,5.1k,smt
70.56,31.0,180.0,bottom,R22,,,R_0603_1608Metric,51k,smt
75.75,36.07,180.0,bottom,R23,,,R_0603_1608Metric,100R,smt
32.99,33.49,180.0,bottom,R24,,,R_0603_1608Metric,6.2k,smt
32.995,28.03,180.0,bottom,R25,,,R_0603_1608Metric,6.2k,smt
34.785,17.19,180.0,bottom,R26,,,R_0603_1608Metric,6.2k,smt
68.97,33.12,180.0,bottom,R27,,,R_0603_1608Metric,5.1k,smt
71.23,27.44,-90.0,bottom,R28,,,R_0603_1608Metric,51k,smt
77.805,24.055,180.0,bottom,R30,,,R_0603_1608Metric,100R,smt
67.375,28.2,180.0,bottom,R31,,,R_0603_1608Metric,5.1k,smt
48.68,17.133411,0.0,bottom,R36,,,R_0603_1608Metric,51k,smt
43.54,15.275,-90.0,bottom,R37,,,R_0603_1608Metric,100R,smt
47.95,19.398409,90.0,bottom,R38,,,R_0603_1608Metric,5.1k,smt
24.02,20.285,-90.0,bottom,R53,,,R_0603_1608Metric,1k,smt
18.43,30.89,-90.0,bottom,R59,,,R_0603_1608Metric,1k,smt
17.95,4.935,-90.0,bottom,R60,,,R_0603_1608Metric,1k,smt
50.960001,33.54,180.0,top,RV1,,,Potentiometer_Bourns_3296W_Vertical,100k,tht
59.945,14.535001,180.0,top,RV2,,,Potentiometer_Bourns_3296W_Vertical,100k,tht
80.03,34.4,0.0,top,RV3,,,Potentiometer_Bourns_3296W_Vertical,100k,tht
79.585,22.175,0.0,top,RV4,,,Potentiometer_Bourns_3296W_Vertical,100k,tht
45.170002,11.939999,-90.0,top,RV5,,,Potentiometer_Bourns_3296W_Vertical,100k,tht
17.804,-9.709,90.0,top,SW1,,,SW_Push,SW_Push,tht
17.842957,-19.212957,90.0,top,SW3,,,SW_Push,SW_Push,tht
17.4,16.56,0.0,top,U1,,,STC16F40K128_CoreBoard,STC16H40K128_CoreBoard,tht
20.43,21.94,-90.0,bottom,U10,,,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,~,smt
27.340001,-34.17,180.0,top,U2,,,SOT-223,LM1117-5V,smt
40.760001,6.4537,180.0,bottom,U3,,,LGA-14L_2P5X3X0P83_STM,LSM6DSRTR,smt
49.26,0.69,180.0,top,U4,,,SOT-223,LM1117-3.3V,smt
64.585,32.775,-90.0,bottom,U5,,,SOIC-8_3.9x4.9mm_P1.27mm,OPA2197xD,smt
44.13,22.67,-90.0,bottom,U6,,,SOIC-8_3.9x4.9mm_P1.27mm,OPA2197xD,smt
54.125,26.875,-90.0,bottom,U7,,,SOIC-8_3.9x4.9mm_P1.27mm,OPA2197xD,smt
14.575001,32.325001,-90.0,bottom,U8,,,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,~,smt
14.055,6.755,-90.0,bottom,U9,,,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,~,smt
