Ref,Val,Package,PosX,PosY,Rot,Side
C4,100nF,C_0603_1608Metric,38.945,4.09,180,bottom
C11,100nF,C_0603_1608Metric,21.345,-6.94,90,bottom
C12,1nF,C_0603_1608Metric,30.72,24.945,-90,bottom
C13,100nF,C_0603_1608Metric,21.51,-16.375,90,bottom
C14,1nF,C_0603_1608Metric,32.54,21.525,-90,bottom
C17,100nF,C_0603_1608Metric,62.37,21.235,0,bottom
C18,100nF,C_0603_1608Metric,58.545,24.895,180,bottom
C19,100nF,C_0603_1608Metric,64.695,18.38,-90,bottom
C20,100nF,C_0603_1608Metric,57.55,18.415,-90,bottom
C21,1nF,C_0603_1608Metric,30.69,34.215,-90,bottom
C22,1nF,C_0603_1608Metric,30.57,28.815,-90,bottom
C23,1nF,C_0603_1608Metric,32.435,17.94,-90,bottom
C25,100nF,C_0603_1608Metric,79.165,30.72,0,bottom
C26,100nF,C_0603_1608Metric,72.115,33.1,0,bottom
C29,47uF,C_0603_1608Metric,17.255,27.68,0,bottom
C31,100nF,C_0603_1608Metric,79.005,28.22,0,bottom
C32,100nF,C_0603_1608Metric,69.675,27.44,-90,bottom
C33,100nF,C_0603_1608Metric,53.36,13.055,-90,bottom
C34,100nF,C_0603_1608Metric,48.66,15.57841,0,bottom
C51,47uF,C_0603_1608Metric,16.61,1.28,-45,bottom
C52,47uF,C_0603_1608Metric,23.095,17.22,0,bottom
D5,SS54,D_SOD-323F,61.53932,25.832501,90,bottom
D6,SS54,D_SOD-323F,60.449999,23.12,0,bottom
D7,SS54,D_SOD-323F,62.8,18.0875,-90,bottom
D8,SS54,D_SOD-323F,60.069999,19.18,0,bottom
D9,SS54,D_SOD-323F,76.64,31.809999,90,bottom
D10,SS54,D_SOD-323F,73.949999,31,0,bottom
D11,SS54,D_SOD-323F,76.37,27.120001,-90,bottom
D17,MM3Zxx,D_SOD-323F,24.21932,23.782501,90,bottom
D18,SS54,D_SOD-323F,73.719999,28.23,0,bottom
D19,SS54,D_SOD-323F,51.56932,14.88341,90,bottom
D21,MM3Zxx,D_SOD-323F,18.39,34.38,90,bottom
D22,MM3Zxx,D_SOD-323F,18.04,8.61,90,bottom
D24,SS54,D_SOD-323F,48.94591,13.76,0,bottom
R10,6.2k,R_0603_1608Metric,33.135,24.24,180,bottom
R11,51k,R_0603_1608Metric,58.525,26.44,180,bottom
R12,6.2k,R_0603_1608Metric,34.83,20.75,180,bottom
R17,100R,R_0603_1608Metric,58.05,32.755,90,bottom
R18,5.1k,R_0603_1608Metric,58.505,28.06,180,bottom
R19,51k,R_0603_1608Metric,56.045,18.415,-90,bottom
R20,100R,R_0603_1608Metric,64.205,12.755001,0,bottom
R21,5.1k,R_0603_1608Metric,56.05,21.485,90,bottom
R22,51k,R_0603_1608Metric,70.56,31,180,bottom
R23,100R,R_0603_1608Metric,75.75,36.07,180,bottom
R24,6.2k,R_0603_1608Metric,32.99,33.49,180,bottom
R25,6.2k,R_0603_1608Metric,32.995,28.03,180,bottom
R26,6.2k,R_0603_1608Metric,34.785,17.19,180,bottom
R27,5.1k,R_0603_1608Metric,68.97,33.12,180,bottom
R28,51k,R_0603_1608Metric,71.23,27.44,-90,bottom
R30,100R,R_0603_1608Metric,77.805,24.055,180,bottom
R31,5.1k,R_0603_1608Metric,67.375,28.2,180,bottom
R36,51k,R_0603_1608Metric,48.68,17.133411,0,bottom
R37,100R,R_0603_1608Metric,43.54,15.275,-90,bottom
R38,5.1k,R_0603_1608Metric,47.95,19.398409,90,bottom
R53,1k,R_0603_1608Metric,24.02,20.285,-90,bottom
R59,1k,R_0603_1608Metric,18.43,30.89,-90,bottom
R60,1k,R_0603_1608Metric,17.95,4.935,-90,bottom
U3,LSM6DSRTR,LGA-14L_2P5X3X0P83_STM,40.760001,6.4537,180,bottom
U5,OPA2197xD,SOIC-8_3.9x4.9mm_P1.27mm,64.585,32.775,-90,bottom
U6,OPA2197xD,SOIC-8_3.9x4.9mm_P1.27mm,44.13,22.67,-90,bottom
U7,OPA2197xD,SOIC-8_3.9x4.9mm_P1.27mm,54.125,26.875,-90,bottom
U8,~,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,14.575001,32.325001,-90,bottom
U9,~,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,14.055,6.755,-90,bottom
U10,~,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,20.43,21.94,-90,bottom
C1,100nF,C_0603_1608Metric,54.57,-0.145,-90,top
C2,10uF,C_0603_1608Metric,35.595,-36.25,-90,top
C3,10uF,C_0603_1608Metric,34.021992,-33.178008,45,top
C15,10uF,C_0603_1608Metric,33.975,-36.25,-90,top
C16,10uF,C_0603_1608Metric,43.93,0.025,-90,top
U2,LM1117-5V,SOT-223,27.340001,-34.17,180,top
U4,LM1117-3.3V,SOT-223,49.26,0.69,180,top
